popularity,budget,revenue,original_title,Star,Co Star,director,runtime,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj
32.985763,150000000,1513528810,Jurassic World,Chris Pratt,Bryce Dallas Howard,Colin Trevorrow,124,Action,5562,6.5,2015,137999939.3,1392445893
28.419936,150000000,378436354,Mad Max: Fury Road,Tom Hardy,Charlize Theron,George Miller,120,Action,6185,7.1,2015,137999939.3,348161292.5
13.112507,110000000,295238201,Insurgent,Shailene Woodley,Theo James,Robert Schwentke,119,Adventure,2480,6.3,2015,101199955.5,271619025.4
11.173104,200000000,2068178225,Star Wars: The Force Awakens,Harrison Ford,Mark Hamill,J.J. Abrams,136,Action,5292,7.5,2015,183999919,1902723130
9.335014,190000000,1506249360,Furious 7,Vin Diesel,Paul Walker,James Wan,137,Action,2947,7.3,2015,174799923.1,1385748801
9.1107,135000000,532950503,The Revenant,Leonardo DiCaprio,Tom Hardy,Alejandro Gonz?lez I??rritu,156,Western,3929,7.2,2015,124199945.4,490314247
8.654359,155000000,440603537,Terminator Genisys,Arnold Schwarzenegger,Jason Clarke,Alan Taylor,125,Science Fiction,2598,5.8,2015,142599937.3,405355075.7
7.6674,108000000,595380321,The Martian,Matt Damon,Jessica Chastain,Ridley Scott,141,Drama,4572,7.6,2015,99359956.28,547749654.3
7.404165,74000000,1156730962,Minions,Sandra Bullock,Jon Hamm,Kyle Balda|Pierre Coffin,91,Family,2893,6.5,2015,68079970.04,1064192017
6.326804,175000000,853708609,Inside Out,Amy Poehler,Phyllis Smith,Pete Docter,94,Comedy,3935,8,2015,160999929.2,785411574.7
6.200282,245000000,880674609,Spectre,Daniel Craig,Christoph Waltz,Sam Mendes,148,Action,3254,6.2,2015,225399900.8,810220283.8
6.189369,176000003,183987723,Jupiter Ascending,Mila Kunis,Channing Tatum,Lana Wachowski|Lilly Wachowski,124,Science Fiction,1937,5.2,2015,161919931.5,169268630.7
6.118847,15000000,36869414,Ex Machina,Domhnall Gleeson,Alicia Vikander,Alex Garland,108,Drama,2854,7.6,2015,13799993.93,33919845.96
5.984995,88000000,243637091,Pixels,Adam Sandler,Michelle Monaghan,Chris Columbus,105,Action,1575,5.8,2015,80959964.38,224146025.1
5.944927,280000000,1405035767,Avengers: Age of Ultron,Robert Downey Jr.,Chris Hemsworth,Joss Whedon,141,Action,4304,7.4,2015,257599886.7,1292632337
5.8984,44000000,155760117,The Hateful Eight,Samuel L. Jackson,Kurt Russell,Quentin Tarantino,167,Crime,2389,7.4,2015,40479982.19,143299244.6
5.749758,48000000,325771424,Taken 3,Liam Neeson,Forest Whitaker,Olivier Megaton,109,Crime,1578,6.1,2015,44159980.57,299709578.2
5.573184,130000000,518602163,Ant-Man,Paul Rudd,Michael Douglas,Peyton Reed,115,Science Fiction,3779,7,2015,119599947.4,477113780
5.556818,95000000,542351353,Cinderella,Lily James,Cate Blanchett,Kenneth Branagh,112,Romance,1495,6.8,2015,87399961.54,498963025.2
5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence,Josh Hutcherson,Francis Lawrence,136,War,2380,6.5,2015,147199935.2,598481289.5
5.462138,190000000,209035668,Tomorrowland,Britt Robertson,George Clooney,Brad Bird,130,Action,1899,6.2,2015,174799923.1,192312729.9
5.337064,30000000,91709827,Southpaw,Jake Gyllenhaal,Rachel McAdams,Antoine Fuqua,123,Action,1386,7.3,2015,27599987.86,84373003.72
4.907832,110000000,470490832,San Andreas,Dwayne Johnson,Alexandra Daddario,Brad Peyton,114,Action,2060,6.1,2015,101199955.5,432851375
4.710402,40000000,569651467,Fifty Shades of Grey,Dakota Johnson,Jamie Dornan,Sam Taylor-Johnson,125,Drama,1865,5.3,2015,36799983.81,524079119
4.648046,28000000,133346506,The Big Short,Christian Bale,Steve Carell,Adam McKay,130,Comedy,1545,7.3,2015,25759988.67,122678731.5
4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,Tom Cruise,Jeremy Renner,Christopher McQuarrie,131,Action,2349,7.1,2015,137999939.3,627743451.7
4.564549,68000000,215863606,Ted 2,Mark Wahlberg,Seth MacFarlane,Seth MacFarlane,115,Comedy,1666,6.3,2015,62559972.47,198594430.1
4.503789,81000000,403802136,Kingsman: The Secret Service,Taron Egerton,Colin Firth,Matthew Vaughn,130,Crime,3833,7.6,2015,74519967.21,371497801.7
4.062293,20000000,88346473,Spotlight,Mark Ruffalo,Michael Keaton,Tom McCarthy,128,Drama,1559,7.8,2015,18399991.9,81278719.4
3.968891,61000000,311256926,Maze Runner: The Scorch Trials,Dylan O'Brien,Kaya Scodelario,Wes Ball,132,Action,1849,6.4,2015,56119975.31,286356245.9
3.899557,49000000,102069268,Chappie,Sharlto Copley,Dev Patel,Neill Blomkamp,120,Crime,1990,6.6,2015,45079980.16,93903685.24
